clock, x_dist, x_vel, x_accel, y_dist, y_vel, y_accel, z_dist, z_vel, z_accel, temperature, gyro_x, gyro_y, gyro_z,undef,undef,undef,undef,undef,undef,undef,undef,undef,lat,lon
1.45,0.008726,0,0,0,0,0,0.01158,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.46,0.008786,0,0,0,0,0,0.01166,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.47,0.008847,0,0,0,0,0,0.01174,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.48,0.008907,0,0,0,0,0,0.01182,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.49,0.008967,0,0,0,0,0,0.0119,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.5,0.009027,0,0,0,0,0,0.01198,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.51,0.009087,0,0,0,0,0,0.012059,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.52,0.009148,0,0,0,0,0,0.012139,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.53,0.009208,0,0,0,0,0,0.012219,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.54,0.009268,0,0,0,0,0,0.012299,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.55,0.009328,0,0,0,0,0,0.012379,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.56,0.009388,0,0,0,0,0,0.012459,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.57,0.009448,0,0,0,0,0,0.012539,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.58,0.009509,0,0,0,0,0,0.012618,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.59,0.009569,0,0,0,0,0,0.012698,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.6,0.009629,0,0,0,0,0,0.012778,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.61,0.009689,0,0,0,0,0,0.012858,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.62,0.009749,0,0,0,0,0,0.012938,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.63,0.00981,0,0,0,0,0,0.013018,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.64,0.00987,0,0,0,0,0,0.013098,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.65,0.00993,0,0,0,0,0,0.013177,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.66,0.00999,0,0,0,0,0,0.013257,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.67,0.01005,0,0,0,0,0,0.013337,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.68,0.01011,0,0,0,0,0,0.013417,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.69,0.010171,0,0,0,0,0,0.013497,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.7,0.010231,0,0,0,0,0,0.013577,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.71,0.010291,0,0,0,0,0,0.013657,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.72,0.010351,0,0,0,0,0,0.013737,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.73,0.010411,0,0,0,0,0,0.013816,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.74,0.010472,0,0,0,0,0,0.013896,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.75,0.010532,0,0,0,0,0,0.013976,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.76,0.010592,0,0,0,0,0,0.014056,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.77,0.010652,0,0,0,0,0,0.014136,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
